team_a_id,team_b_id,round
1610612739,1610612748,1
1610612754,1610612749,1
1610612738,1610612753,1
1610612752,1610612765,1
1610612760,1610612763,1
1610612743,1610612746,1
1610612745,1610612744,1
1610612747,1610612750,1
1610612739,1610612749,2
1610612738,1610612765,2
1610612760,1610612743,2
1610612744,1610612750,2
1610612739,1610612738,3
1610612760,1610612750,3
1610612738,1610612760,4
