simulation_id,record_type,team_a_id,team_a_name,team_b_id,team_b_name,win_probability,team_a_wins,team_b_wins,series_winner_id,series_winner_name,total_games,game_number,game_win_probability,game_winner_id,game_winner_name,round
1,series_summary,1610612739,Cleveland Cavaliers,1610612748,Miami Heat,0.9885197877883911,4.0,0.0,1610612739,Cleveland Cavaliers,4.0,,,,,1
1,game,1610612739,Cleveland Cavaliers,1610612748,Miami Heat,0.9885197877883911,,,,,,1.0,0.30748124564238055,1610612739,Cleveland Cavaliers,1
1,game,1610612739,Cleveland Cavaliers,1610612748,Miami Heat,0.9885197877883911,,,,,,2.0,0.5766959837278959,1610612739,Cleveland Cavaliers,1
1,game,1610612739,Cleveland Cavaliers,1610612748,Miami Heat,0.9885197877883911,,,,,,3.0,0.008770599830541403,1610612739,Cleveland Cavaliers,1
1,game,1610612739,Cleveland Cavaliers,1610612748,Miami Heat,0.9885197877883911,,,,,,4.0,0.2521674832240327,1610612739,Cleveland Cavaliers,1
2,series_summary,1610612754,Indiana Pacers,1610612749,Milwaukee Bucks,0.6874486207962036,4.0,1.0,1610612754,Indiana Pacers,5.0,,,,,1
2,game,1610612754,Indiana Pacers,1610612749,Milwaukee Bucks,0.6874486207962036,,,,,,1.0,0.5511817521095158,1610612749,Milwaukee Bucks,1
2,game,1610612754,Indiana Pacers,1610612749,Milwaukee Bucks,0.6874486207962036,,,,,,2.0,0.01941836426179533,1610612754,Indiana Pacers,1
2,game,1610612754,Indiana Pacers,1610612749,Milwaukee Bucks,0.6874486207962036,,,,,,3.0,0.8401409595407983,1610612754,Indiana Pacers,1
2,game,1610612754,Indiana Pacers,1610612749,Milwaukee Bucks,0.6874486207962036,,,,,,4.0,0.7376590647126631,1610612754,Indiana Pacers,1
2,game,1610612754,Indiana Pacers,1610612749,Milwaukee Bucks,0.6874486207962036,,,,,,5.0,0.1162885110651426,1610612754,Indiana Pacers,1
3,series_summary,1610612738,Boston Celtics,1610612753,Orlando Magic,0.9872128963470459,4.0,2.0,1610612738,Boston Celtics,6.0,,,,,1
3,game,1610612738,Boston Celtics,1610612753,Orlando Magic,0.9872128963470459,,,,,,1.0,0.649207156864544,1610612753,Orlando Magic,1
3,game,1610612738,Boston Celtics,1610612753,Orlando Magic,0.9872128963470459,,,,,,2.0,0.12516941476149235,1610612738,Boston Celtics,1
3,game,1610612738,Boston Celtics,1610612753,Orlando Magic,0.9872128963470459,,,,,,3.0,0.6095032944513243,1610612753,Orlando Magic,1
3,game,1610612738,Boston Celtics,1610612753,Orlando Magic,0.9872128963470459,,,,,,4.0,0.767878418794674,1610612738,Boston Celtics,1
3,game,1610612738,Boston Celtics,1610612753,Orlando Magic,0.9872128963470459,,,,,,5.0,0.4746121354732945,1610612738,Boston Celtics,1
3,game,1610612738,Boston Celtics,1610612753,Orlando Magic,0.9872128963470459,,,,,,6.0,0.20514199509539044,1610612738,Boston Celtics,1
4,series_summary,1610612752,New York Knicks,1610612765,Detroit Pistons,0.6248999834060669,4.0,3.0,1610612752,New York Knicks,7.0,,,,,1
4,game,1610612752,New York Knicks,1610612765,Detroit Pistons,0.6248999834060669,,,,,,1.0,0.7290123205625755,1610612752,New York Knicks,1
4,game,1610612752,New York Knicks,1610612765,Detroit Pistons,0.6248999834060669,,,,,,2.0,0.9984858535594384,1610612765,Detroit Pistons,1
4,game,1610612752,New York Knicks,1610612765,Detroit Pistons,0.6248999834060669,,,,,,3.0,0.3612990810036867,1610612765,Detroit Pistons,1
4,game,1610612752,New York Knicks,1610612765,Detroit Pistons,0.6248999834060669,,,,,,4.0,0.7452137881512575,1610612752,New York Knicks,1
4,game,1610612752,New York Knicks,1610612765,Detroit Pistons,0.6248999834060669,,,,,,5.0,0.15570323479228398,1610612765,Detroit Pistons,1
4,game,1610612752,New York Knicks,1610612765,Detroit Pistons,0.6248999834060669,,,,,,6.0,0.7474288133323508,1610612752,New York Knicks,1
4,game,1610612752,New York Knicks,1610612765,Detroit Pistons,0.6248999834060669,,,,,,7.0,0.09360911714896869,1610612752,New York Knicks,1
5,series_summary,1610612760,Oklahoma City Thunder,1610612763,Memphis Grizzlies,0.9765220284461975,4.0,0.0,1610612760,Oklahoma City Thunder,4.0,,,,,1
5,game,1610612760,Oklahoma City Thunder,1610612763,Memphis Grizzlies,0.9765220284461975,,,,,,1.0,0.13856813300375848,1610612760,Oklahoma City Thunder,1
5,game,1610612760,Oklahoma City Thunder,1610612763,Memphis Grizzlies,0.9765220284461975,,,,,,2.0,0.369487587669187,1610612760,Oklahoma City Thunder,1
5,game,1610612760,Oklahoma City Thunder,1610612763,Memphis Grizzlies,0.9765220284461975,,,,,,3.0,0.5362357808064201,1610612760,Oklahoma City Thunder,1
5,game,1610612760,Oklahoma City Thunder,1610612763,Memphis Grizzlies,0.9765220284461975,,,,,,4.0,0.3582227942079489,1610612760,Oklahoma City Thunder,1
