SEASON,TEAM_ID,TEAM_NAME,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,STL,BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,STL_RANK,BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK
1997-98,1610612737,Atlanta Hawks,82,50,32,0.61,48.5,102.5,29.5,0.669,7.9,6.0,16.4,14.0,13.3,38.2,1,10,10,10,8,13,10,10,18,4,10,9,13,11
1997-98,1610612738,Boston Celtics,82,36,46,0.439,48.1,103.5,24.9,0.642,12.0,4.5,17.7,14.4,15.2,46.8,1,20,20,20,27,18,29,24,1,21,21,13,24,27
1997-98,1610612766,Charlotte Hornets,82,51,31,0.622,48.2,103.3,28.5,0.691,8.4,3.8,17.1,13.8,13.0,40.9,1,9,9,9,21,15,14,3,11,27,16,8,11,16
1997-98,1610612741,Chicago Bulls,82,62,20,0.756,48.4,98.4,29.7,0.676,8.5,4.3,15.0,13.6,12.3,37.4,1,1,1,1,9,3,6,7,10,23,2,7,8,9
1997-98,1610612739,Cleveland Cavaliers,82,47,35,0.573,48.4,97.5,28.4,0.678,9.9,5.1,18.6,12.8,13.2,36.4,1,11,11,11,10,1,17,6,2,15,24,3,12,6
1997-98,1610612742,Dallas Mavericks,82,20,62,0.244,48.5,105.2,27.8,0.632,7.9,5.7,16.6,16.4,15.9,44.0,1,24,24,24,6,23,21,28,20,6,13,27,26,24
1997-98,1610612743,Denver Nuggets,82,11,71,0.134,48.1,110.6,26.3,0.639,8.1,4.8,18.9,15.2,12.8,40.8,1,29,29,29,29,29,26,25,16,17,26,19,9,15
1997-98,1610612765,Detroit Pistons,82,37,45,0.451,48.7,101.8,28.5,0.668,8.3,4.2,15.6,14.2,11.0,34.3,1,19,19,19,2,9,16,12,14,25,6,10,5,3
1997-98,1610612744,Golden State Warriors,82,19,63,0.232,48.4,103.5,30.2,0.664,7.6,5.5,18.5,15.3,13.8,41.0,1,25,25,25,10,17,3,14,25,9,23,22,18,18
1997-98,1610612745,Houston Rockets,82,41,41,0.5,48.4,106.8,28.7,0.672,8.4,3.6,17.6,15.6,13.9,41.5,1,17,17,17,10,25,12,9,13,28,20,24,19,19
1997-98,1610612754,Indiana Pacers,82,58,24,0.707,48.4,99.5,28.6,0.657,7.9,4.5,14.5,14.3,12.2,37.2,1,5,5,5,10,5,13,17,21,20,1,12,7,8
1997-98,1610612746,Los Angeles Clippers,82,17,65,0.207,48.2,109.6,27.8,0.638,7.6,5.6,18.7,16.4,14.7,47.9,1,27,27,27,23,27,22,26,24,8,25,28,22,28
1997-98,1610612747,Los Angeles Lakers,82,61,21,0.744,48.4,102.3,30.1,0.656,9.0,6.8,17.5,15.6,13.3,40.4,1,3,3,3,18,11,4,19,7,3,19,25,14,14
