SEASON,TEAM_ID,TEAM_NAME,Restricted Area FGM,Restricted Area FGA,Restricted Area FG_PCT,In The Paint (Non-RA) FGM,In The Paint (Non-RA) FGA,In The Paint (Non-RA) FG_PCT,Mid-Range FGM,Mid-Range FGA,Mid-Range FG_PCT,Left Corner 3 FGM,Left Corner 3 FGA,Left Corner 3 FG_PCT,Right Corner 3 FGM,Right Corner 3 FGA,Right Corner 3 FG_PCT,Above the Break 3 FGM,Above the Break 3 FGA,Above the Break 3 FG_PCT,Backcourt FGM,Backcourt FGA,Backcourt FG_PCT,Corner 3 FGM,Corner 3 FGA,Corner 3 FG_PCT
2007-08,1610612741,Chicago Bulls,14.0,26.2,0.536,3.8,9.8,0.388,12.8,31.8,0.402,0.9,2.2,0.418,0.6,1.6,0.375,4.3,12.0,0.356,0.0,0.5,0.0,1.5,3.8,0.401
2007-08,1610612739,Cleveland Cavaliers,16.0,27.0,0.593,3.0,8.7,0.347,10.0,27.1,0.37,1.3,3.4,0.393,1.3,3.4,0.381,4.2,12.0,0.345,0.0,0.5,0.0,2.6,6.7,0.387
2007-08,1610612742,Dallas Mavericks,13.0,21.6,0.604,4.7,11.5,0.412,13.1,29.3,0.447,1.0,2.7,0.364,0.9,2.4,0.361,4.2,11.9,0.355,0.0,0.6,0.0,1.8,4.9,0.363
2007-08,1610612743,Denver Nuggets,19.6,31.7,0.619,3.7,9.7,0.379,10.1,24.9,0.406,1.1,2.8,0.39,1.0,2.3,0.424,4.9,14.1,0.346,0.0,0.9,0.0,2.0,5.0,0.405
2007-08,1610612765,Detroit Pistons,13.1,21.5,0.61,3.0,7.7,0.396,14.5,34.5,0.42,0.8,2.5,0.323,0.8,2.1,0.404,4.3,11.6,0.373,0.0,0.5,0.0,1.6,4.4,0.36
2007-08,1610612744,Golden State Warriors,20.8,34.0,0.613,3.5,9.0,0.388,8.0,20.8,0.383,1.5,3.8,0.385,1.1,2.9,0.388,6.7,19.6,0.34,0.0,0.6,0.0,2.6,6.7,0.386
2007-08,1610612745,Houston Rockets,15.5,26.2,0.589,4.5,11.0,0.408,9.6,23.7,0.405,0.9,2.1,0.408,0.8,2.3,0.354,5.4,16.2,0.334,0.0,0.5,0.0,1.7,4.4,0.38
2007-08,1610612754,Indiana Pacers,14.3,23.6,0.604,4.2,10.6,0.4,10.1,26.4,0.382,1.0,2.4,0.42,1.0,2.5,0.398,7.2,19.6,0.367,0.0,0.9,0.0,2.0,4.9,0.409
2007-08,1610612746,Los Angeles Clippers,12.6,21.3,0.589,4.8,11.6,0.412,12.8,32.6,0.393,0.5,1.3,0.381,0.3,0.8,0.359,3.5,10.9,0.318,0.1,0.5,0.133,0.8,2.1,0.373
2007-08,1610612747,Los Angeles Lakers,17.7,28.2,0.626,4.2,9.9,0.426,9.7,23.7,0.408,1.1,2.9,0.392,1.4,3.3,0.437,5.5,15.0,0.366,0.0,0.5,0.0,2.6,6.2,0.416
2007-08,1610612763,Memphis Grizzlies,16.5,27.4,0.605,5.5,12.7,0.43,7.8,20.4,0.38,1.0,2.4,0.423,0.8,2.2,0.357,5.8,16.9,0.344,0.0,0.9,0.0,1.8,4.5,0.392
2007-08,1610612748,Miami Heat,13.1,21.4,0.611,3.6,9.8,0.368,11.6,29.3,0.394,1.0,2.3,0.428,0.6,1.7,0.353,4.5,12.7,0.351,0.0,0.7,0.0,1.5,3.9,0.396
2007-08,1610612749,Milwaukee Bucks,15.8,28.4,0.556,5.0,12.1,0.408,10.6,25.8,0.413,0.9,2.3,0.403,0.9,2.1,0.412,3.8,11.5,0.327,0.0,0.4,0.0,1.7,4.3,0.407
2007-08,1610612750,Minnesota Timberwolves,15.4,26.6,0.58,6.2,14.4,0.431,10.5,26.8,0.393,0.6,1.7,0.368,0.5,1.4,0.354,4.3,12.0,0.356,0.0,0.9,0.0,1.1,3.0,0.361
2007-08,1610612751,New Jersey Nets,15.6,27.8,0.559,2.8,7.4,0.379,10.4,26.0,0.401,0.9,2.2,0.415,1.0,2.4,0.427,4.1,12.5,0.327,0.0,0.7,0.0,2.0,4.7,0.421
